overview:
S_D_p:79.164
S_D_r:65.827
S_D_f1:71.882
S_C_p:70.548
S_C_r:58.663
S_C_f1:64.059
C_D_p:82.999
C_D_r:67.009
C_D_f1:74.152
C_C_p:73.591
C_C_r:59.415
C_C_f1:65.748

bad cases:

原始: 日本雅虎利用语音搜索技术和3D打印，打造了“智能搜索机器”，在视障儿童学校孩子们可以对着机器说话，如果机器识别了孩子的语言，且3D数据库中，机器就为孩子打印出小比例尺寸的事物
正确: 日本雅虎利用语音搜索技术和3D打印，打造了“智能搜索机器”，在视障儿童学校孩子们可以对着机器说话，如果机器识别了孩子的语言，且3D数据库中，机器就为孩子打印出小比例尺寸的【实】物
预测: 日本雅虎利用语音搜索技术和3D打印，打造了“智能搜索机器”，在视障儿童学校孩子们可以对着机器说话，如果机器识别了孩子的语言，且3D数据库中，机器就为孩子打印出小比例尺寸的【事】物
错误类型: 漏纠

原始: 需要在手机上链接一个接收器，然后变可以隔墙充电了
正确: 需要在手机上连接一个接收器，然后【便】可以隔墙充电了
预测: 需要在手机上连接一个接收器，然后【就】可以隔墙充电了
错误类型: 综合

原始: 最基本的满背图案从割线到打雾(上色)至少需耗费20-30个小时，复杂的机械臂图案可能要文上70个小时
正确: 最基本的满背图案从割线到打雾(上色)至少需耗费20-30个小时，复杂的机械臂图案可能要【纹】上70个小时
预测: 最基本的满背图案从割线到打雾(上色)至少需耗费20-30个小时，复杂的机械臂图案可能要【文】上70个小时
错误类型: 漏纠

原始: 沪深两市高开，沪指高开高走，午后在保险、石化双雄、券商、银行、铁路基建等板块带动下大涨逾百点站上3300点整数关口，振幅近4%，两市成交超5000亿，成交量有所放大
正确: 沪深两市高开，沪指高开高走，午后在保险、石化双雄、券商、银行、铁路基建等板块带动下大涨逾百点站上3300点整数关口，【振】幅近4%，两市成交超5000亿，成交量有所放大
预测: 沪深两市高开，沪指高开高走，午后在保险、石化双雄、券商、银行、铁路基建等板块带动下大涨逾百点站上3300点整数关口，【震】幅近4%，两市成交超5000亿，成交量有所放大
错误类型: 过纠

原始: 安徽大学回应称，让女生脱掉衣服侧体能是为了保证数据的准确性
正确: 安徽大学回应称，让女生脱掉衣服【测】体能是为了保证数据的准确性
预测: 安徽大学回应称，让女生脱掉衣服【侧】体能是为了保证数据的准确性
错误类型: 漏纠

原始: 阿甘虾餐厅首次推出的“allyoucaneat”甜品自助餐，让情侣们可尽情品尝超过15款滋味甜点，包括阿甘虾特色甜点青柠批，以及芝士蛋糕、鲜果串、法式杏仁饼和朱古力喷泉等
正确: 阿甘虾餐厅首次推出的“allyoucaneat”甜品自助餐，让情侣们可尽情品尝超过15款【美】味甜点，包括阿甘虾特色甜点青柠【派】，以及芝士蛋糕、鲜果串、法式杏仁饼和朱古力喷泉等
预测: 阿甘虾餐厅首次推出的“allyoucaneat”甜品自助餐，让情侣们可尽情品尝超过15款【滋】味甜点，包括阿甘虾特色甜点青柠【批】，以及芝士蛋糕、鲜果串、法式杏仁饼和朱古力喷泉等
错误类型: 漏纠

原始: 满心兴奋的拿到苹果邀请函的各路媒体，在9月11日上午10点，坐国贸三期一个小小的会议室里，他们面前的投影仪上播放的赫然是8个小时前在美国举行的发布会实况的重播
正确: 满心兴奋地拿到苹果邀请函的各路媒体，在9月11日上午10点，【坐】国贸三期一个小小的会议室里，他们面前的投影仪上播放的赫然是8个小时前在美国举行的发布会实况的重播
预测: 满心兴奋地拿到苹果邀请函的各路媒体，在9月11日上午10点，【在】国贸三期一个小小的会议室里，他们面前的投影仪上播放的赫然是8个小时前在美国举行的发布会实况的重播
错误类型: 综合

原始: 有香港舆论质，郑宇硕以一个不折不扣的外国人身份，竟然要带领香港推动符合所谓“国际标准”的“真普选”
正确: 有香港舆论【指】，郑宇硕以一个不折不扣的外国人身份，竟然要带领香港推动符合所谓“国际标准”的“真普选”
预测: 有香港舆论【质】，郑宇硕以一个不折不扣的外国人身份，竟然要带领香港推动符合所谓“国际标准”的“真普选”
错误类型: 漏纠

原始: 第一资本金融公司（COF）今天公布财报，第一季度净利润为12亿美元，同比增长9.3%，和每股收1.96美元，高于华尔街每股盈利1.69美元的预期
正确: 第一资本金融公司（COF）今天公布财报，第一季度净利润为12亿美元，同比增长9.3%，【合】每股收1.96美元，高于华尔街每股盈利1.69美元的预期
预测: 第一资本金融公司（COF）今天公布财报，第一季度净利润为12亿美元，同比增长9.3%，【和】每股收1.96美元，高于华尔街每股盈利1.69美元的预期
错误类型: 漏纠

原始: 周小川表示，中国经济增长内在动力还是很强的，不会出现连续性下滑的方式
正确: 周小川表示，中国经济增长内在动力还是很强的，不会出现连续性下滑【得】方式
预测: 周小川表示，中国经济增长内在动力还是很强的，不会出现连续性下滑【的】方式
错误类型: 漏纠

原始: 预测称未来比特币的价格可能会打到四万美元
正确: 预测称未来比特币的价格可能会【达】到四万美元
预测: 预测称未来比特币的价格可能会【打】到四万美元
错误类型: 漏纠

原始: 习近平24日会见朝鲜特使崔龙海，并接收金正恩
正确: 习近平24日会见朝鲜特使崔龙海，并接【受】金正恩
预测: 习近平24日会见朝鲜特使崔龙海，并接【见】金正恩
错误类型: 综合

原始: 用户通过点击虚线，就可以展看其它回复信息
正确: 用户通过点击虚线，就可以【展】【看】其它回复信息
预测: 用户通过点击虚线，就可以【查】【示】其它回复信息
错误类型: 过纠

原始: 那么在大力推进文化体制改革的当下，我们对自身的展览机制做一些研究与调整，因该是时代赋予我们的使命
正确: 那么在大力推进文化体制改革的当下，我们对自身的展览机制做一些研究与调整，【应】该是时代赋予我们的使命
预测: 那么在大力推进文化体制改革的当下，我们对自身的展览机制做一些研究与调整，【因】该是时代赋予我们的使命
错误类型: 漏纠

原始: 园内不仅樱花花景好大壮观，飞虹桥旁的紫荆花、山茶花也已热情绽放，下周开始将进入西湖樱花的最佳观赏期，花期将持续半月左右，市民不妨抽空前往
正确: 园内不仅樱花花景【浩】大壮观，飞虹桥旁的紫荆花、山茶花也已热情绽放，下周开始将进入西湖樱花的最佳观赏期，花期将持续半月左右，市民不妨抽空前往
预测: 园内不仅樱花花景【好】大壮观，飞虹桥旁的紫荆花、山茶花也已热情绽放，下周开始将进入西湖樱花的最佳观赏期，花期将持续半月左右，市民不妨抽空前往
错误类型: 漏纠

原始: 威尔莫茨表示，医学扫描结果显示阿扎尔的脚趾有些轻微的挫伤，为了预防期间，阿扎尔并没有参加周三的训练
正确: 威尔莫茨表示，医学扫描结果显示阿扎尔的脚趾有些轻微的挫伤，为了预防【起】【见】，阿扎尔并没有参加周三的训练
预测: 威尔莫茨表示，医学扫描结果显示阿扎尔的脚趾有些轻微的挫伤，为了预防【期】【间】，阿扎尔并没有参加周三的训练
错误类型: 漏纠

原始: 每一种颜色代表一种类型音乐，条纹厚度代表用户收录的该类型音乐所属的年代分布，进入后用户可查询详析数据信息
正确: 每一种颜色代表一种类型音乐，条纹厚度代表用户收录的该类型音乐所属的年代分布，进入后用户可查询详【细】数据信息
预测: 每一种颜色代表一种类型音乐，条纹厚度代表用户收录的该类型音乐所属的年代分布，进入后用户可查询详【析】数据信息
错误类型: 漏纠

原始: 我正处6年半，老婆在一房企任高管11年，儿子高三一直走读，家庭年收入15万左右……
正确: 我正处6年半，老婆在一房企任高管11年，儿子高三一直【走】读，家庭年收入15万左右……
预测: 我正处6年半，老婆在一房企任高管11年，儿子高三一直【在】读，家庭年收入15万左右……
错误类型: 过纠

原始: 有网友评价道：“我都不敢看了，这姑娘穿的真省布
正确: 有网友评价道：“我都不敢看了，这姑娘穿【得】真省布
预测: 有网友评价道：“我都不敢看了，这姑娘穿【的】真省布
错误类型: 漏纠

原始: 原国资委主任李荣融、格力电器董事长董明珠、海航集团董事局主席陈锋等大佬来到现场助阵，并现场分享自己对商业的思考
正确: 原国资委主任李荣融、格力电器董事长董明珠、海航集团董事局主席陈【峰】等大佬来到现场助阵，并现场分享自己对商业的思考
预测: 原国资委主任李荣融、格力电器董事长董明珠、海航集团董事局主席陈【锋】等大佬来到现场助阵，并现场分享自己对商业的思考
错误类型: 漏纠

原始: 不管是凭借萌娃们火起来的爸爸党，还是卖命死名牌的跑男党，没足额预算是请不动他们的
正确: 不管是凭借萌娃们火起来的爸爸党，还是卖命【撕】名牌的跑男党，没足额预算是请不动他们的
预测: 不管是凭借萌娃们火起来的爸爸党，还是卖命【死】名牌的跑男党，没足额预算是请不动他们的
错误类型: 漏纠

原始: 除了身陷多起诉讼，内蒙发展还有多起影响重大事项未公告，包括董事长被通辑、股权纠纷等
正确: 除了身陷多起诉讼，内蒙发展还有多起影响重大事项未公告，包括董事长被通【缉】、股权纠纷等
预测: 除了身陷多起诉讼，内蒙发展还有多起影响重大事项未公告，包括董事长被通【辑】、股权纠纷等
错误类型: 漏纠

原始: 火车从安克雷奇出发，途径复活湾海岸、基奈峡湾国家公园，最终到达苏厄德，路上走走停停，观鲸、垂钓，感受海上皮划艇的惊险刺激，欣赏冰川的维美壮观，体验乘坐狗拉雪橇的快乐
正确: 火车从安克雷奇出发，途经复活湾海岸、基奈峡湾国家公园，最终到达苏厄德，路上走走停停，观鲸、垂钓，感受海上皮划艇的惊险刺激，欣赏冰川的【唯】美壮观，体验乘坐狗拉雪橇的快乐
预测: 火车从安克雷奇出发，途经复活湾海岸、基奈峡湾国家公园，最终到达苏厄德，路上走走停停，观鲸、垂钓，感受海上皮划艇的惊险刺激，欣赏冰川的【绝】美壮观，体验乘坐狗拉雪橇的快乐
错误类型: 综合

原始: 侦查时，他却意外被解聘了，他对沃尔玛的作法十分不解，并要求沃尔玛赔偿
正确: 侦查时，他却意外被解【聘】了，他对沃尔玛的做法十分不解，并要求沃尔玛赔偿
预测: 侦查时，他却意外被解【雇】了，他对沃尔玛的做法十分不解，并要求沃尔玛赔偿
错误类型: 综合

原始: 中国工程院院士王梦恕表示，中国高铁规划现在要尽快拉通北京到所有省会的高铁线路；另外值得关注的一条高铁线路是渤海湾大通道，从东北到海南三亚拉通5700公里，综贯11个省区市
正确: 中国工程院院士王梦恕表示，中国高铁规划现在要尽快拉通北京到所有省会的高铁线路；另外值得关注的一条高铁线路是渤海湾大通道，从东北到海南三亚拉通5700公里，【综】贯11个省区市
预测: 中国工程院院士王梦恕表示，中国高铁规划现在要尽快拉通北京到所有省会的高铁线路；另外值得关注的一条高铁线路是渤海湾大通道，从东北到海南三亚拉通5700公里，【纵】贯11个省区市
错误类型: 过纠

原始: 据悉，当时因玩具掉到六层缓台，孩子踩在暖气管上够玩具，一脚踩空跌下，当时没有老师在场
正确: 据悉，当时因玩具掉到六层【缓】台，孩子踩在暖气管上【够】玩具，一脚踩空跌下，当时没有老师在场
预测: 据悉，当时因玩具掉到六层【高】台，孩子踩在暖气管上【放】玩具，一脚踩空跌下，当时没有老师在场
错误类型: 过纠

原始: 正是在对宗教包装与教义篡改下，境外恐怖组织所编造传播的“圣战殉教进天堂”荒诞谬论，让一些在宗教知识上的匮乏甚至无知的信教群众，产生了“殉教天堂”的幻景，最终走上了迁徙圣战的偷渡之路
正确: 正是在对宗教包装与教义篡改下，境外恐怖组织所编造传播的“圣战殉教进天堂”荒诞谬论，让一些在宗教知识上的匮乏甚至无知的信教群众，产生了“殉教天堂”的幻【景】，最终走上了迁徙圣战的偷渡之路
预测: 正是在对宗教包装与教义篡改下，境外恐怖组织所编造传播的“圣战殉教进天堂”荒诞谬论，让一些在宗教知识上的匮乏甚至无知的信教群众，产生了“殉教天堂”的幻【象】，最终走上了迁徙圣战的偷渡之路
错误类型: 过纠

原始: 米卢在中伊大战后发表博文说：”对比中伊两队，伊拉克的平均年龄只有20出头，是西亚地区最具有战斗精神的一支球队，但中国队的年轻球员却少之有少，中国足球的未来真正亮起了黄灯
正确: 米卢在中伊大战后发表博文说：”对比中伊两队，伊拉克的平均年龄只有20出头，是西亚地区最具有战斗精神的一支球队，但中国队的年轻球员却少之【又】少，中国足球的未来真正亮起了黄灯
预测: 米卢在中伊大战后发表博文说：”对比中伊两队，伊拉克的平均年龄只有20出头，是西亚地区最具有战斗精神的一支球队，但中国队的年轻球员却少之【有】少，中国足球的未来真正亮起了黄灯
错误类型: 漏纠

原始: 而王大治妻子戴璐所在歌舞团工作人员透露，王大治与妻子半个月前还出现在剧团，关系亲密，并不像离婚
正确: 而王大治妻子戴璐所在歌舞团工作人员透露，王大治与妻子半个月前还出现在剧团，关系亲密，并不【像】离婚
预测: 而王大治妻子戴璐所在歌舞团工作人员透露，王大治与妻子半个月前还出现在剧团，关系亲密，并不【想】离婚
错误类型: 过纠

原始: 普约尔的康复成度明显加速，就目前情况看，他赶上“国家德比”希望很大
正确: 普约尔的康复【程】度明显加速，就目前情况看，他赶上“国家德比”希望很大
预测: 普约尔的康复【速】度明显加速，就目前情况看，他赶上“国家德比”希望很大
错误类型: 综合

原始: 类似的危急，国人要么“一窝蜂”逃生，要么干着急围观，其中暴露出的则是对应急逃生的无知和生存教育的缺失
正确: 类似的危【机】，国人要么“一窝蜂”逃生，要么干着急围观，其中暴露出的则是对应急逃生的无知和生存教育的缺失
预测: 类似的危【急】，国人要么“一窝蜂”逃生，要么干着急围观，其中暴露出的则是对应急逃生的无知和生存教育的缺失
错误类型: 漏纠

原始: 近日有消息称，关于基础药物在三级医药使用比例的规范性稳健有望春节前出台，相关医药股有望再获提振
正确: 近日有消息称，关于基础药物在三级医药使用比例的规范性【文】【件】有望春节前出台，相关医药股有望再获提振
预测: 近日有消息称，关于基础药物在三级医药使用比例的规范性【稳】【健】有望春节前出台，相关医药股有望再获提振
错误类型: 漏纠

原始: 该试验室系河科大与世界500强企业联合建立，在我省高校尚属首个
正确: 该【试】验室系河科大与世界500强企业联合建立，在我省高校尚属首个
预测: 该【实】验室系河科大与世界500强企业联合建立，在我省高校尚属首个
错误类型: 过纠

原始: 想更多了解个各国家的美食，骆驼书中美食介绍应有尽有，免费查阅请戳>>
正确: 想更多了解各【个】国家的美食，骆驼书中美食介绍应有尽有，免费查阅请戳>>
预测: 想更多了解各【各】国家的美食，骆驼书中美食介绍应有尽有，免费查阅请戳>>
错误类型: 综合

原始: 而有些人称做好事成本高，主要是看一些新闻炒作，个案被无限超大，最终让公众在做好事上杯中蛇影，不敢作为
正确: 而有些人称做好事成本高，主要是看一些新闻炒作，个案被无限【炒】大，最终让公众在做好事上杯中蛇影，不敢作为
预测: 而有些人称做好事成本高，主要是看一些新闻炒作，个案被无限【超】大，最终让公众在做好事上杯中蛇影，不敢作为
错误类型: 漏纠

原始: 据港媒报道，泰国军方发动政变后，大力打压前总理他信的支持势力，北部城市清迈、清菜等他信根据地的民众为免招惹军方，近日均藏起或烧毁红色T恤、示威号角及红衫军成员证
正确: 据港媒报道，泰国军方发动政变后，大力打压前总理他信的支持势力，北部城市清迈、清【莱】等他信根据地的民众为免招惹军方，近日均藏起或烧毁红色T恤、示威号角及红衫军成员证
预测: 据港媒报道，泰国军方发动政变后，大力打压前总理他信的支持势力，北部城市清迈、清【迈】等他信根据地的民众为免招惹军方，近日均藏起或烧毁红色T恤、示威号角及红衫军成员证
错误类型: 综合

原始: 恋人办理结婚登记手续，妻子索要数万礼金，还未举办婚礼，妻子便外出不归，丈夫具状诉离返还礼金近日，江苏省射阳县人民法院判处被告在判决生效后10日内返还原告礼金66000元
正确: 恋人办理结婚登记手续，妻子索要数万礼金，还未举办婚礼，妻子便外出不归，丈夫具状诉【离】返还礼金近日，江苏省射阳县人民法院判处被告在判决生效后10日内返还原告礼金66000元
预测: 恋人办理结婚登记手续，妻子索要数万礼金，还未举办婚礼，妻子便外出不归，丈夫具状诉【求】返还礼金近日，江苏省射阳县人民法院判处被告在判决生效后10日内返还原告礼金66000元
错误类型: 过纠

原始: 近期，国内支付方式已经从互联网开拓至移动支付领域，国内三大运营商业开始布局近场支付
正确: 近期，国内支付方式已经从互联网开拓至移动支付领域，国内三大运营商【也】开始布局近场支付
预测: 近期，国内支付方式已经从互联网开拓至移动支付领域，国内三大运营商【业】开始布局近场支付
错误类型: 漏纠

原始: 同时，一季度北京二手房市场的议价空间提升至2.9%，为去年初以来的最高水平
正确: 同时，一季度北京二手房市场的【溢】价空间提升至2.9%，为去年初以来的最高水平
预测: 同时，一季度北京二手房市场的【议】价空间提升至2.9%，为去年初以来的最高水平
错误类型: 漏纠

原始: 武侯区丽都路与长城东一路口往进城方向，一名50多岁的中年男子骑着电瓶车，不慎将一辆停在路边的劳斯莱斯撞到，造成劳斯莱斯尾部凹陷和刮伤，据现场有人估价称，电瓶车主将面临几十万的巨额赔偿
正确: 武侯区丽都路与长城东一路口往进城方向，一名50多岁的中年男子骑着电瓶车，不慎将一辆停在路边的劳斯莱斯撞【到】，造成劳斯莱斯尾部凹陷和刮伤，据现场有人估价称，电瓶车主将面临几十万的巨额赔偿
预测: 武侯区丽都路与长城东一路口往进城方向，一名50多岁的中年男子骑着电瓶车，不慎将一辆停在路边的劳斯莱斯撞【倒】，造成劳斯莱斯尾部凹陷和刮伤，据现场有人估价称，电瓶车主将面临几十万的巨额赔偿
错误类型: 过纠

原始: 由浙江一农民创立的“联合国维和部队总司令部”，4年来已发展成员数百人，“专员”遍布滇、湘、鄂、川、翼等十余省市，他们坐火车不给钱、骑摩托车不带证、敢去银行存假币……岳阳监狱“救人”事件，也是该团伙的癫狂之作
正确: 由浙江一农民创立的“联合国维和部队总司令部”，4年来已发展成员数百人，“专员”遍布滇、湘、鄂、川、【冀】等十余省市，他们坐火车不给钱、骑摩托车不带证、敢去银行存假币……岳阳监狱“救人”事件，也是该团伙的癫狂之作
预测: 由浙江一农民创立的“联合国维和部队总司令部”，4年来已发展成员数百人，“专员”遍布滇、湘、鄂、川、【翼】等十余省市，他们坐火车不给钱、骑摩托车不带证、敢去银行存假币……岳阳监狱“救人”事件，也是该团伙的癫狂之作
错误类型: 漏纠

原始: 人们在生活中每天都能看到各种广告，我们也通常抱怨身边看到的广告太过犯懒，但优秀的广告则截然不同，他会不自然的吸引你的注意力，这些可能更是社会上需要的，今天就为大家总结了国外比较深入人心的一些公益性广告
正确: 人们在生活中每天都能看到各种广告，我们也通常抱怨身边看到的广告太过【泛】【滥】，但优秀的广告则截然不同，【它】会不自然地吸引你的注意力，这些可能更是社会上需要的，今天就为大家总结了国外比较深入人心的一些公益性广告
预测: 人们在生活中每天都能看到各种广告，我们也通常抱怨身边看到的广告太过【犯】【懒】，但优秀的广告则截然不同，【他】会不自然地吸引你的注意力，这些可能更是社会上需要的，今天就为大家总结了国外比较深入人心的一些公益性广告
错误类型: 综合

原始: 阿尔及利亚航空公司24日称，该公司一架航班号为AH5017的波音737客机在从布基纳法索首度瓦加杜古飞往阿尔及尔途中失联，失联客机上搭乘约116人
正确: 阿尔及利亚航空公司24日称，该公司一架航班号为AH5017的波音737客机在从布基纳法索首【度】瓦加杜古飞往阿尔及尔途中失联，失联客机上搭乘约116人
预测: 阿尔及利亚航空公司24日称，该公司一架航班号为AH5017的波音737客机在从布基纳法索首【都】瓦加杜古飞往阿尔及尔途中失联，失联客机上搭乘约116人
错误类型: 过纠

原始: 移动网络专家Netbiscuits最近发布信息图表指出，2012年平板电脑在印度销量增长400％，在东南美业增长101％
正确: 移动网络专家Netbiscuits最近发布信息图表指出，2012年平板电脑在印度销量增长400％，在东南美【也】增长101％
预测: 移动网络专家Netbiscuits最近发布信息图表指出，2012年平板电脑在印度销量增长400％，在东南美【区】增长101％
错误类型: 综合

原始: 其中腾讯和日本伊藤忠商新加入的投资方
正确: 其中腾讯和日本伊藤忠【商】新加入的投资方
预测: 其中腾讯和日本伊藤忠【是】新加入的投资方
错误类型: 过纠

原始: 鲁能三将蒙蒂略、汪强和王永珀骨折，塔尔德利、张弛同样出现伤病，阿洛伊西奥面临一场禁赛，戴琳仍有两场禁赛
正确: 鲁能三将蒙蒂略、汪强和王永珀骨折，塔尔德利、张【弛】同样出现伤病，阿洛伊西奥面临一场禁赛，戴琳仍有两场禁赛
预测: 鲁能三将蒙蒂略、汪强和王永珀骨折，塔尔德利、张【驰】同样出现伤病，阿洛伊西奥面临一场禁赛，戴琳仍有两场禁赛
错误类型: 过纠

原始: 今年9月，福建5岁女孩毛毛被查出感染了艾滋病，疑因四年前手术输血所致，医院称手术前家属签了风险告知书，院方无法律责任，省卫计委已介入调查，今年年底前回复
正确: 今年9月，福建5岁女孩毛毛被查出感染了艾滋病，疑因四年前手术输血所致，医院称手术前家属签了风险告知书，院方无法律责任，省卫计委已介入调查，今年年底前【回】复
预测: 今年9月，福建5岁女孩毛毛被查出感染了艾滋病，疑因四年前手术输血所致，医院称手术前家属签了风险告知书，院方无法律责任，省卫计委已介入调查，今年年底前【恢】复
错误类型: 过纠

原始: 尽管我们还有无线域展与中继设备可以选择，但如果未来无线路由器能够在没有其它设备辅助的情况下，就实现更好的穿透与覆盖能力，才是大家最希望见到的
正确: 尽管我们还有无线域展与中继设备可以选择，但如果未来无线路由器能够在没有其【他】设备辅助的情况下，就实现更好的穿透与覆盖能力，才是大家最希望见到的
预测: 尽管我们还有无线域展与中继设备可以选择，但如果未来无线路由器能够在没有其【它】设备辅助的情况下，就实现更好的穿透与覆盖能力，才是大家最希望见到的
错误类型: 漏纠

原始: 孙某辩称应急车道没有车辆，路也宽畅，不会有危险
正确: 孙某辩称应急车道没有车辆，路也宽【敞】，不会有危险
预测: 孙某辩称应急车道没有车辆，路也宽【畅】，不会有危险
错误类型: 漏纠

原始: 张某申请商标猛牛用在润滑油等产品上，为此，蒙牛将核准此事的国家工商行政管理总局商标评审委员会诉至法院
正确: 张某申请商标【蒙】牛用在润滑油等产品上，为此，蒙牛将核准此事的国家工商行政管理总局商标评审委员会诉至法院
预测: 张某申请商标【猛】牛用在润滑油等产品上，为此，蒙牛将核准此事的国家工商行政管理总局商标评审委员会诉至法院
错误类型: 漏纠

原始: 对此，环保部相关部门负责人明确表示，拥堵费是属于治理打城市机动车问题的极端手段，绝不可能全国一刀切的实施
正确: 对此，环保部相关部门负责人明确表示，拥堵费是属于治理【大】城市机动车问题的极端手段，绝不可能全国一刀切【地】实施
预测: 对此，环保部相关部门负责人明确表示，拥堵费是属于治理【打】城市机动车问题的极端手段，绝不可能全国一刀切【的】实施
错误类型: 漏纠

原始: 无论我们作任何网站，我们的目的是做给客户看的，而不是当作一个艺术品来欣赏
正确: 无论我们做任何网站，我们的目的是做给客户看的，而不是当【作】一个艺术品来欣赏
预测: 无论我们做任何网站，我们的目的是做给客户看的，而不是当【做】一个艺术品来欣赏
错误类型: 综合

原始: 每一个安卓应用程序都有自己的数字签名，本质上来说就是一个ID，黑客便可利用词漏洞制造恶意应用程序冒充谷歌钱包，获得付款和财务数据
正确: 每一个安卓应用程序都有自己的数字签名，本质上来说就是一个ID，黑客便可利用【此】漏洞制造恶意应用程序冒充谷歌钱包，获得付款和财务数据
预测: 每一个安卓应用程序都有自己的数字签名，本质上来说就是一个ID，黑客便可利用【该】漏洞制造恶意应用程序冒充谷歌钱包，获得付款和财务数据
错误类型: 综合

原始: 愿保护新闻当事人及其家属隐私成为一种自觉，不唯在赵红霞事件中
正确: 愿保护新闻当事人及其家属隐私成为一种自觉，不【唯】在赵红霞事件中
预测: 愿保护新闻当事人及其家属隐私成为一种自觉，不【仅】在赵红霞事件中
错误类型: 过纠

原始: 通过反腐，经济秩序好了很多，企业家去投资，喝酒少多了，应酬少多了，以前到那里去，总考虑要带几个会喝酒的
正确: 通过反腐，经济秩序好了很多，企业家去投资，喝酒少多了，应酬少多了，以前到【那】里去，总考虑要带几个会喝酒的
预测: 通过反腐，经济秩序好了很多，企业家去投资，喝酒少多了，应酬少多了，以前到【哪】里去，总考虑要带几个会喝酒的
错误类型: 过纠

原始: 工作职责：1、负责评估客户及产线工具的需求；2、新工厂测试系统导入；3、试产、量产的跟线解决工具系统问题任职要求：1、手机行业三件以上从业经验；2、熟悉产线流程；3、有编程经验优先
正确: 工作职责：1、负责评估客户及产线工具的需求；2、新工厂测试系统导入；3、试产、量产的跟线解决工具系统问题任职要求：1、手机行业三【年】以上从业经验；2、熟悉产线流程；3、有编程经验优先
预测: 工作职责：1、负责评估客户及产线工具的需求；2、新工厂测试系统导入；3、试产、量产的跟线解决工具系统问题任职要求：1、手机行业三【件】以上从业经验；2、熟悉产线流程；3、有编程经验优先
错误类型: 漏纠

原始: 黄毅清还表示今天就会去民政局等着黄奕，只要不要再变挂，立马签字了结一切
正确: 黄毅清还表示今天就会去民政局等着黄奕，只要不要再变【卦】，立马签字了结一切
预测: 黄毅清还表示今天就会去民政局等着黄奕，只要不要再变【挂】，立马签字了结一切
错误类型: 漏纠

原始: 新版的《快递市场管理办法》已经于3月1日起正式实施，但是央视曝光的国内部分快递企业存在的暴力飞拣等违规操作行为，这表明我国快递行业服务乱象已经十分严重
正确: 新版的《快递市场管理办法》已经于3月1日起正式实施，但是央视曝光的国内部分快递企业存在的暴力【分】拣等违规操作行为，这表明我国快递行业服务乱象已经十分严重
预测: 新版的《快递市场管理办法》已经于3月1日起正式实施，但是央视曝光的国内部分快递企业存在的暴力【飞】拣等违规操作行为，这表明我国快递行业服务乱象已经十分严重
错误类型: 漏纠

原始: 作为一名自诩电脑砖家的小编，总是被各种各样龟速电脑优化咨询雷倒了
正确: 作为一名自诩电脑【砖】家的小编，总是被各种各样龟速电脑优化咨询雷倒了
预测: 作为一名自诩电脑【专】家的小编，总是被各种各样龟速电脑优化咨询雷倒了
错误类型: 过纠

原始: 对方甚至表示，只有付钱就能帮有需要者查到指定人的户籍、车籍，以及银行流水余额、酒店开房记录等
正确: 对方甚至表示，只【有】付钱就能帮有需要者查到指定人的户籍、车籍，以及银行流水余额、酒店开房记录等
预测: 对方甚至表示，只【要】付钱就能帮有需要者查到指定人的户籍、车籍，以及银行流水余额、酒店开房记录等
错误类型: 过纠

原始: 据俄罗斯之声报道，美军精神病医师哈桑收到军事法庭审判，他希望能够判处他死刑
正确: 据俄罗斯之声报道，美军精神病医师哈桑【受】到军事法庭审判，他希望能够判处他死刑
预测: 据俄罗斯之声报道，美军精神病医师哈桑【收】到军事法庭审判，他希望能够判处他死刑
错误类型: 漏纠

原始: 泉州一中1995级初中八班的同学们以20年前泉州一中真实的校园生活为素材，自编自导自演了一步时长8分钟的静电影《同桌的你》，用照片讲述一对男女同学的一段青涩的校园感情
正确: 泉州一中1995级初中八班的同学们以20年前泉州一中真实的校园生活为素材，自编自导自演了一部时长8分钟的【静】电影《同桌的你》，用照片讲述一对男女同学的一段青涩的校园感情
预测: 泉州一中1995级初中八班的同学们以20年前泉州一中真实的校园生活为素材，自编自导自演了一部时长8分钟的【微】电影《同桌的你》，用照片讲述一对男女同学的一段青涩的校园感情
错误类型: 综合

原始: 新娘沈小姐投诉江西籍女老板胡女士违约玩失踪，物业回忆，老板反称照相馆经营不善与员工工作态度有关，并指责员工通知顾客是“吃里爬外、背信弃义”的行为，声称考虑到公司业绩与员工表现相挂钩，或将“按照员工手册扣工资”
正确: 新娘沈小姐投诉江西籍女老板胡女士违约玩失踪，物业回忆，老板反称照相馆经营不善与员工工作态度有关，并指责员工通知顾客是“吃里【扒】外、背信弃义”的行为，声称考虑到公司业绩与员工表现相挂钩，或将“按照员工手册扣工资”
预测: 新娘沈小姐投诉江西籍女老板胡女士违约玩失踪，物业回忆，老板反称照相馆经营不善与员工工作态度有关，并指责员工通知顾客是“吃里【爬】外、背信弃义”的行为，声称考虑到公司业绩与员工表现相挂钩，或将“按照员工手册扣工资”
错误类型: 漏纠

原始: 腾讯微信昨日推出“微信行业解决方案”，覆盖快递、百货、餐厅、医院等11个线下领域，几乎囊括了所有消费型常态行业，腾讯意图对微信支付应用场景的拓展渗透到线下，进一步完善生态闭环，打通O2O全领域的野心凸显
